,sepal_length,sepal_width,petal_length,petal_width
775,6.4,3.3,1.3,1.2
776,4.9,2.9,4.2,1.8
777,5.3,2.7,4.3,1.4
778,7.2,3.3,1.5,0.8
779,4.6,3.2,4.3,1.8
780,5.7,2.5,5.9,0.2
781,4.5,2.1,6.8,2.0
782,6.5,3.0,6.4,1.6
783,4.3,2.1,2.2,0.6
784,5.4,2.1,2.0,0.7
785,5.2,2.0,4.3,2.3
786,7.8,3.9,5.1,0.1
787,6.6,3.9,3.0,0.4
788,6.3,2.0,1.5,0.7
789,5.2,4.4,3.5,2.0
790,4.7,2.2,2.2,1.1
791,6.6,2.7,4.2,0.1
792,7.6,3.3,5.5,0.2
793,4.5,3.1,1.7,0.4
794,6.0,2.5,5.7,1.1
795,7.5,2.0,1.3,1.5
796,5.6,2.0,4.5,1.2
797,4.3,2.3,5.5,1.1
798,5.4,2.5,4.1,0.9
799,4.8,4.4,6.6,1.5
800,7.1,3.6,1.9,1.8
801,5.5,4.4,1.3,0.8
802,5.2,3.2,5.3,0.2
803,4.3,2.3,6.7,0.7
804,4.3,2.4,6.7,1.6
805,6.3,2.7,6.7,1.2
806,4.9,3.5,2.2,0.5
807,5.4,4.4,5.9,0.9
808,5.8,3.9,2.7,0.6
809,4.7,4.3,4.2,1.1
810,7.1,4.4,3.8,2.0
811,6.3,3.3,5.9,1.1
812,6.4,3.4,1.3,1.9
813,4.5,2.1,2.1,2.0
814,7.4,3.1,3.8,0.6
815,6.5,3.9,2.9,0.6
816,7.1,3.0,1.3,1.5
817,7.8,2.0,2.1,1.7
818,6.9,3.2,6.2,1.2
819,4.7,3.9,5.5,0.7
820,4.4,3.2,2.0,1.3
821,7.6,3.8,2.2,1.9
822,6.6,4.0,1.1,1.2
823,6.5,3.5,5.5,2.1
824,4.4,3.6,2.6,2.4
825,4.5,4.3,4.1,2.3
826,6.6,4.3,6.6,0.9
827,7.4,4.4,3.7,2.3
828,5.5,3.3,6.5,0.2
829,7.8,4.3,2.1,1.5
830,4.5,2.4,1.0,1.9
831,4.7,3.0,6.8,1.1
832,4.7,2.1,3.9,1.3
833,6.1,3.9,1.8,1.4
834,6.2,3.3,1.7,2.0
835,4.6,3.8,3.9,1.3
836,5.2,2.7,1.8,1.7
837,4.7,2.8,3.2,1.0
838,6.3,2.0,6.4,1.8
839,4.3,3.6,5.5,1.6
840,5.5,2.2,4.2,1.0
841,4.9,2.3,4.8,1.9
842,4.5,2.4,5.9,0.3
843,5.1,2.0,4.2,1.4
844,6.6,2.5,2.4,1.6
845,5.9,4.3,2.2,0.2
846,6.1,3.2,2.4,0.8
847,4.5,4.2,3.1,0.7
848,6.0,3.0,1.4,0.9
849,7.8,2.7,5.6,1.5
850,5.6,2.3,4.0,0.3
851,6.9,2.3,4.8,2.4
852,5.1,2.1,4.1,2.0
853,5.0,2.0,5.1,2.2
854,5.5,2.3,1.1,1.3
855,7.3,4.1,5.4,0.2
856,5.0,4.0,1.3,1.8
857,4.3,4.4,4.1,0.9
858,6.9,3.3,4.2,1.8
859,5.6,2.2,6.7,1.7
860,7.7,2.2,5.5,1.3
861,7.5,2.9,3.2,2.0
862,6.8,3.0,3.4,1.4
863,7.7,4.0,3.4,1.9
864,6.4,4.3,6.3,0.8
865,5.0,4.2,5.5,0.5
866,7.6,3.2,3.4,2.4
867,5.7,3.8,3.9,0.2
868,6.9,4.1,1.1,0.7
869,4.7,2.4,6.5,1.3
870,7.2,3.0,4.7,2.4
871,7.8,2.5,2.5,0.6
872,6.7,3.3,3.3,2.0
873,6.7,4.1,2.3,2.3
874,5.8,3.8,1.5,2.2
875,5.9,3.2,3.5,0.4
876,6.2,4.0,2.2,1.3
877,5.6,4.1,4.1,1.3
878,4.6,4.4,1.8,2.0
879,5.0,3.2,5.6,2.1
880,7.3,3.7,3.9,0.4
881,6.8,3.2,3.5,0.3
882,6.1,2.9,2.6,0.3
883,5.7,2.1,6.4,0.2
884,5.1,2.3,3.2,0.6
885,4.9,2.7,5.0,0.9
886,4.4,4.0,6.4,0.8
887,6.6,2.7,1.3,0.5
888,5.6,3.2,3.9,2.1
889,4.6,3.4,3.1,0.6
890,5.7,4.4,3.4,1.1
891,6.1,2.9,3.1,0.8
892,6.3,2.7,1.5,0.7
893,6.6,3.7,3.7,0.7
894,6.6,4.4,6.5,1.7
895,6.5,2.5,4.2,1.6
896,6.9,2.5,6.1,1.0
897,7.0,3.7,4.7,1.4
898,5.4,2.4,4.1,0.2
899,4.5,4.2,4.8,1.5
900,6.2,4.2,4.1,0.3
901,5.8,3.0,2.1,2.0
902,4.6,4.2,4.4,2.0
903,4.8,4.0,6.7,1.4
904,6.6,3.2,6.5,1.1
905,7.5,3.9,3.4,1.0
906,4.5,3.9,1.3,1.7
907,4.3,2.9,4.2,0.5
908,4.9,3.0,1.6,0.8
909,7.3,2.5,1.9,2.0
910,5.4,3.0,5.7,2.2
911,6.4,2.8,3.8,2.3
912,7.8,3.4,6.6,1.9
913,7.1,2.1,2.2,2.0
914,4.6,3.1,4.5,0.9
915,7.4,3.7,1.2,1.0
916,7.7,3.7,4.7,0.2
917,5.6,4.1,4.2,1.5
918,5.2,4.3,5.1,0.6
919,5.3,3.5,6.5,1.3
920,7.4,2.5,6.0,0.6
921,4.3,2.2,6.2,1.7
922,4.9,2.1,5.4,2.0
923,6.7,2.2,3.9,1.0
924,6.3,3.9,4.6,1.8
925,6.4,2.4,4.2,1.6
926,5.4,4.3,3.8,2.4
927,5.2,3.1,6.1,1.6
928,4.9,2.7,5.3,0.4
929,6.0,4.4,5.8,0.7
930,7.0,4.4,4.5,0.6
931,6.9,4.0,3.1,1.8
932,4.3,2.5,6.7,2.0
933,6.7,4.3,3.9,0.9
934,6.7,2.3,2.6,2.0
935,6.7,3.9,3.6,1.7
936,6.5,3.3,5.1,2.3
937,6.3,3.6,3.2,0.6
938,6.0,2.8,6.3,1.3
939,7.1,3.3,3.2,0.3
940,4.3,3.2,2.5,1.0
941,4.9,2.9,5.6,0.9
942,7.0,2.8,2.0,1.0
943,6.1,3.0,3.9,1.3
944,5.4,4.3,3.3,1.3
945,5.5,2.4,2.8,0.3
946,7.2,2.0,5.4,0.5
947,7.3,4.0,5.4,2.2
948,4.3,2.3,4.6,2.0
949,5.2,3.6,2.3,0.6
950,7.5,4.0,3.4,0.8
951,4.4,3.4,1.4,1.6
952,4.6,3.1,4.4,0.5
953,5.3,4.4,5.0,0.3
954,7.6,2.4,5.3,0.4
955,6.6,4.4,4.0,1.7
956,6.4,2.4,6.6,1.6
957,7.5,4.1,5.3,1.2
958,5.1,2.9,3.9,1.7
959,7.6,2.5,6.1,0.8
960,6.4,2.0,1.8,1.2
961,4.9,4.1,5.7,1.7
962,4.4,2.7,1.9,1.8
963,7.3,3.3,2.7,0.8
964,7.8,2.4,3.0,0.8
965,7.6,2.4,3.5,1.0
966,7.6,2.9,4.3,1.9
967,4.9,3.1,2.9,0.4
968,6.8,3.5,5.8,1.7
969,4.3,3.2,4.6,2.1
970,6.5,2.4,5.4,0.2
971,5.5,2.7,2.0,0.1
972,4.5,2.4,5.0,0.3
973,7.4,3.3,4.1,2.0
974,5.8,2.1,1.3,1.1
975,4.7,2.7,1.3,2.0
976,6.3,4.2,2.0,0.4
977,6.6,3.7,4.0,1.9
978,6.6,2.8,5.4,2.0
979,7.1,4.4,2.4,2.3
980,5.2,4.3,2.7,1.8
981,5.5,2.1,6.3,1.2
982,4.8,3.8,5.9,1.6
983,5.3,3.3,6.0,2.4
984,6.3,2.5,1.3,2.3
985,4.6,4.4,2.3,1.6
986,7.6,2.2,3.0,1.3
987,5.6,2.4,2.8,1.9
988,4.7,2.6,1.5,2.4
989,6.3,3.8,4.5,0.5
990,5.6,4.4,4.3,2.4
991,6.6,3.2,3.0,0.5
992,7.6,2.1,2.6,1.6
993,7.1,3.7,3.6,2.0
994,7.4,4.1,3.3,1.0
995,5.0,2.3,2.3,0.4
996,7.0,3.0,1.2,0.7
997,7.8,3.3,2.5,0.1
998,4.5,3.8,5.0,0.2
999,5.5,3.9,2.9,1.2
